taxon,tree_size.1.height_low,tree_size.1.height_high,leaf_duration.1.duration,leaf_count.1.low,leaf_count.1.high,leaf_shape.1.shape,leaf_count.1.location,leaf_color.1.color,leaf_surface.1.surface,leaf_apex_shape.1.shape,leaf_base_shape.1.shape,leaf_margin.1.margin,leaf_venation.1.venation,article_surface.1,article_shape.1,phyllichnia_shape.1,article_length.1.low,article_length.1.high,article_width.1.low,article_width.1.high,branch_shape.1.shape,branch_size.1.length_low,branch_size.1.length_high,leaf_size.1.length_low,leaf_size.1.length_high,leaf_size.1.width_low,leaf_size.1.width_high,leaflet_shape.1.shape,leaflet_size.1.length_low,leaflet_size.1.length_high,leaflet_size.1.width_low,leaflet_size.1.width_high,leaflet_count.1.low,leaflet_count.1.high,inflorescence_shape.1.shape,inflorescence_size.1.length_low,inflorescence_size.1.length_high,inflorescence_size.1.width_low,inflorescence_size.1.width_high,infructescence_shape.1.shape,infructescence_peduncle_size.1.length_low,infructescence_peduncle_size.1.length_high,infructescence_surface.1.surface,infructescence_size.1.location,infructescence_size.1.length_low,infructescence_size.1.length_high,infructescence_size.1.width_low,infructescence_size.1.width_high
Allocasuarina acuaria,1,3,,4,,,"erect, spreading, recurved",,,,,,,pubescent when young,,"rounded,broad median groove",0.15,0.3,0.06,0.09,ascending,1.5,3,,,,,,,,,,0,,,1,4,,,,,,,,1.5,3.5,1.5,2.8
Allocasuarina acutivalvis,3,8,,10,14,,erect,,,,,,,,,"flat, slightly verruculose",0.1,0.25,0.07,0.12,ascending,20,,,,,,,,,,,0,,,1,8,,,,,,,,1.5,1.9,1.3,1.8
Allocasuarina brachystachya,3,,,5,7,,erect,,,,,,,usually minutely pubescent in furrows,,often median groove,0.2,0.5,0.04,0.07,ascending,7,,0.2,0.5,,,,,,,,0,,,0.5,1.7,,,,,,,,0.7,1.4,0.5,0.8
Allocasuarina campestris,1,3,deciduous,7,9,,erect,,,,,,,"smooth, often pubescent in furrows,rounded,flat,small ridge",,,0.6,1.3,0.06,0.12,ascending,20,,0.3,1.2,,,,,,,,0,,,0.04,2.8,,,,,,,,1.9,4.2,1,1.7
Allocasuarina corniculata,2,3,,8,10,,"erect,slightly spreading",,,,,,,"smooth, glabrous",,"flat,slightly rounded",0.6,1.1,0.09,1.4,ascending,26,,0.3,0.6,,,,,,,,0,,,0.5,2,,,,,,,,0.8,1.5,0.7,0.9
Allocasuarina crassa,1,2,persistent,7,10,,"spreading,slightly recurved",,,,,,,"smooth, with densely pubescent furrows",,strongly rounded,1,2,0.12,0.2,"spreading,ascending",17,,1.1,3,,,,,,,,0,,,2,,,,,,,,,1.5,3.4,1.2,2.5
Allocasuarina decaisneana,10,16,,4,,,usually erect,,,,,,,pubescent becoming glabrous,,"flat,broad shallow median groove",2,6,0.07,0.15,drooping,40,,1.7,3.2,,,,,,,,0,,,2,4,,,,,,,,2.8,9.5,2,3.5
Allocasuarina decussata,1,15,,4,,,erect,,,,,,,occasionally finely pubescent when young,quadrangular,sharply angular,0.3,0.7,0.06,0.08,ascending,14,,0.6,1,,,,,,,,0,,,1,3.5,,,,,,,,1,2,1.5,2.4
Allocasuarina defungens,0.5,2,deciduous,5,7,,erect,,,,,,,"smooth, glabrous",,rounded,0.6,0.8,0.05,0.06,ascending,12,,0.2,0.5,,,,,,,,0,,,0.4,1,,,,,,,,0.8,1.1,0.5,0.7
Allocasuarina dielsiana,4,9,deciduous,6,8,,slightly spreading,,,,,,,"smooth, glabrous",,angular,0.6,1,0.08,0.1,ascending,20,,0.5,0.7,,,,,,,,0,,,0.5,0.6,,,,,,,,1.4,3,1.2,1.7
Allocasuarina diminuta,1,5,persistent,6,9,,"erect,spreading",,,,,,,"often glaucous, glabrous",terete,"rounded,angular",0.5,1.2,0.06,0.11,ascending,23,,0.3,0.8,,,,,,,,0,,,0.5,5,,,,,,,,0.5,2,0.5,1.2
Allocasuarina distyla,1,3,"persistent,deciduous",6,8,,erect,,,,,,,"occasionally glaucous, pubescent in furrows",,"angular,rounded,occasionally sparsely and minutely pubescent",1,2,0.08,0.15,ascending,35,,0.5,1.2,,,,,,,,0,,,1.5,5,,,,,,,,1.3,3.5,1.1,2.2
Allocasuarina drummondiana,0.5,3,persistent,6,7,,"erect,apex slightly spreading",,,,,,,"smooth, pubescent in furrows","terete,angular","angular,rounded,central ridge",0.12,0.25,0.09,0.12,,2,,0.5,0.9,,,,,,,,0,,,0.4,1,,,,,,,,0.8,1.5,0.7,0.8
Allocasuarina duncanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
