leaf_part_shape
,0
acuminate,1
acuminate-caudate,2
acute,3
bilaterally symmetric,4
branched,5
caudate,6
concave,7
convex,8
cordate,9
cuneate,10
curved,11
deltoid-ovate,12
elliptic,13
elliptic-lanceolate,14
elliptic-oblong,15
elliptic-obovate,16
elliptic-ovate,17
falcate-lanceolate,18
falcate-oblong,19
fused,20
incised,21
lanceolate,22
lanceolate-oblong,23
lanceolate-obovate,24
lanceolate-ovate,25
linear,26
linear-oblanceolate,27
oblanceolate,28
oblanceolate-obovate,29
oblong,30
oblong-obovate,31
oblong-ovate,32
obovate,33
obovate-reniform,34
obtuse,35
orbicular,36
ovate,37
ovate-rhomboic,38
ovate-rhomboid,39
ovate-triangular,40
ovoid,41
petiolate,42
pinnatifid,43
recurved,44
rhomboic,45
saccate,46
saucerlike,47
slender,48
spheric,49
stellate,50
stipitate glandular,51
straight,52
subulate,53
sulcate,54
triangular,55
twisted,56
valvate,57
